,word string,0
20003,RCS Capital,True
20048,SEC Chair White,True
20071,Dell Inc,True
20100,Sprint Corp,True
20122,Series A,True
20187,The Truth,True
20344,Tencent Holdings Ltd,True
20361,Monarch Group,True
20456,Poly Real Estate Group,True
20598,Anil Stevens,True
20627,The Nielsen Company,True
20667,Third Point LLC,True
20715,Zacks Investment Research,True
20779,Blackstone Group LP,True
20782,Ciena Corp,True
20927,The Nation,True
20969,OSI Group,True
20987,Kellogg School,True
21161,Costco Wholesale Corp,True
21172,Sursum Capital Management,True
21187,Moto G,True
21475,Ken Cowley,True
21487,Snow Phipps Group,True
21496,New Corp,True
21528,Joe Tsai,True
21592,Five Oaks Investment Corp,True
21594,Geo Group,True
21607,Assured Guaranty Ltd,True
21681,Starbucks Corp,True
21743,NCR Corp,True
21803,Synovus Trust Company,True
21820,Mary Kay,True
21821,Caterpillar Inc,True
21911,United Emblem,True
21958,Ex-Im Bank,True
22049,NetDragon Websoft Inc,True
22077,Nick Colas,True
22095,Best Employer,True
22102,Miami River Marine Group,True
22115,Bombardier Inc,True
22152,ZTEA Corp,True
22197,The Beverage Information Group,True
22230,Fairfield Greenwich Ltd,True
22578,Communications Co Ltd,True
22668,ADV Form,True
22701,Jamba Inc,True
22716,Brilliant Technologies,True
22859,Societe Generale Group,True
22863,Markit PMI,True
22870,New York Mellon,True
22888,Hayes Advisory Group,True
22938,Standish Asset Management,True
22961,NDS Group,True
23060,General Dynamics Corp,True
23071,STA Wealth Management,True
23113,Cole Haan,True
23123,Future Past,True
23247,Wii U,True
23280,Tiburon Research Group,True
23368,Windsor Custom,True
23479,Barings Asset Management,True
23498,Abnormal Returns  I,True
23558,Hon Hai,True
23612,Kroto Inc,True
23624,Applied Materials Inc,True
23842,PNC Asset Management,True
23895,Imperial Tobacco Group,True
23952,Humana Inc,True
24087,Romanian-born Hartmann,True
24112,Sinopec Group,True
24273,Taminco Corp,True
24333,Apple ID,True
24338,Investec Asset Management,True
24353,Wendi Deng,True
24361,Sony Corp,True
24386,CEO Lloyd Blankfein,True
24467,The Post,True
24480,Park Avenue,True
24612,Lipper Inc,True
24745,OrganiGram Holdings Inc,True
24773,Best Buy,True
24774,Tel Aviv,True
24785,Asset Management Unit,True
24831,The GEO Group,True
25021,About Tekmira Tekmira Pharmaceuticals Corporation,True
25083,Menomonee Falls,True
25152,Brands Inc,True
25184,US Funds Holmes,True
25199,Investment Strategy Group,True
25222,Rights Plan,True
25312,Investor Relations,True
25330,The U,True
25414,The French,True
25502,Barack Obama,True
25559,Old GM,True
25565,The Harvard Crimson,True
25648,Dentsu Inc,True
25679,OlympusA Corp,True
25692,Boeing Co,True
25706,Beaufort Sea,True
25750,Peter Orszag,True
25760,CME Group,True
25769,NACA Founder,True
25784,China Railway Group Ltd,True
25811,Goldman Sachs Group IncA,True
25860,Oracle Corpon,True
25925,Golub Group,True
25987,AC Investment Management,True
26245,Meryl Streep,True
26279,Carlyle Group LP,True
26368,CtW Investment Group,True
26427,Jizan Economic City,True
26523,Seth KlarmanaTMs Baupost Group,True
26554,Octans I,True
26564,Wanda Group,True
26569,UBS Securities Co Ltd,True
26705,Safeway Inc,True
26712,Tobias Brothers Inc,True
26757,Laguna Beach,True
26790,Publicis Groupe SA,True
26817,RBC Wealth Management,True
26974,Tabb Group,True
27046,Monday Allergan Inc,True
